Date,Warehouse,sku,Status,msku,Panel,Quantity
,Karnataka,CSTE_0546_ST_Animal_Lucifer_Cat_Black,Active,CSTE_0546_ST_Animal_Lucifer_Cat_Black,CSTE FLIPKART,1
,Kerala,Map_Musicbox_Black_HBD,Active,CSTE_0015_MB_HBD_Black,CSTE FLIPKART,1
,Madhya Pradesh,Map_Musicbox_Black_HBD,Active,CSTE_0015_MB_HBD_Black,CSTE FLIPKART,1
,Tamil Nadu,Map_Musicbox_Black_HBD,Active,CSTE_0015_MB_HBD_Black,CSTE FLIPKART,1
,Maharashtra,Map_Musicbox_Black_HBD,Active,CSTE_0015_MB_HBD_Black,CSTE FLIPKART,1
,Uttar Pradesh,Map_Musicbox_Black_HBD,Active,CSTE_0015_MB_HBD_Black,CSTE FLIPKART,1
,Maharashtra,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Assam,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Delhi,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Odisha,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Uttarakhand,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Uttar Pradesh,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Jammu & Kashmir,f_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Chhattisgarh,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Maharashtra,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,West Bengal,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Rajasthan,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Delhi,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Kerala,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Manipur,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Uttar Pradesh,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Tamil Nadu,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Haryana,Music Box/11,Active,CSTE_0060_MB_YouAreMySunshine_Brown,CSTE FLIPKART,1
,Punjab,CSTE_0470_ST_Minecraft_Sword_Small,Active,CSTE_0470_ST_Minecraft_Sword_Small,CSTE FLIPKART,1
,West Bengal,CSTE_0470_ST_Minecraft_Sword_Small,Active,CSTE_0470_ST_Minecraft_Sword_Small,CSTE FLIPKART,1
,Kerala,CSTE_0470_ST_Minecraft_Sword_Small,Active,CSTE_0470_ST_Minecraft_Sword_Small,CSTE FLIPKART,1
,Uttarakhand,CSTE_0470_ST_Minecraft_Sword_Small,Active,CSTE_0470_ST_Minecraft_Sword_Small,CSTE FLIPKART,1
,Maharashtra,F_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Karnataka,F_ay hp M box black,Active,CSTE_0020_MB_HP_Black,CSTE FLIPKART,1
,Kerala,CJ-Thug Life Sunglasses Pixel Gangster,Active,CSTE_0218_SG_ThugLife_Big,CSTE FLIPKART,1
,Bihar,sabrina_8note_kalimba,Active,CSTE_0306_MB_Sabrina_8Notes_Brown,CSTE FLIPKART,1
,Telangana,eitheo_HBD,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,2
,Telangana,eitheo_HBD,Inactive,MAP_HBD_Multicolor,CSTE FLIPKART,2
,Uttarakhand,eitheo_HBD,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,2
,Uttarakhand,eitheo_HBD,Inactive,MAP_HBD_Multicolor,CSTE FLIPKART,2
,West Bengal,eitheo_HBD,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,2
,West Bengal,eitheo_HBD,Inactive,MAP_HBD_Multicolor,CSTE FLIPKART,2
,Uttar Pradesh,eitheo_HBD,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,2
,Uttar Pradesh,eitheo_HBD,Inactive,MAP_HBD_Multicolor,CSTE FLIPKART,2
,Tamil Nadu,eitheo_HBD,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,2
,Tamil Nadu,eitheo_HBD,Inactive,MAP_HBD_Multicolor,CSTE FLIPKART,2
,Telangana,WING_RED_SG,Active,CSTE_0240_SG_Wings_Red,CSTE FLIPKART,1
,Andhra Pradesh,WING_RED_SG,Active,CSTE_0240_SG_Wings_Red,CSTE FLIPKART,1
,Uttar Pradesh,WING_RED_SG,Active,CSTE_0240_SG_Wings_Red,CSTE FLIPKART,1
,Tamil Nadu,CSTE_0491_ST_Fruit_Blox_Spirit,Active,CSTE_0491_ST_Fruit_Blox_Spirit,CSTE FLIPKART,1
,Delhi,CSTE_0491_ST_Fruit_Blox_Spirit,Active,CSTE_0491_ST_Fruit_Blox_Spirit,CSTE FLIPKART,1
,Maharashtra,CSTE_0491_ST_Fruit_Blox_Spirit,Active,CSTE_0491_ST_Fruit_Blox_Spirit,CSTE FLIPKART,1
,Tamil Nadu,CSTE_0533_ST_Animal_Breathing_Koala_Grey,Active,CSTE_0533_ST_Animal_Breathing_Koala_Grey,CSTE FLIPKART,1
,Jharkhand,CSTE_0533_ST_Animal_Breathing_Koala_Grey,Active,CSTE_0533_ST_Animal_Breathing_Koala_Grey,RUDRAV MEESHO,1
,Telangana,CSTE_0489_ST_Fruit_Blox_Light,Active,CSTE_0489_ST_Fruit_Blox_Light,CSTE FLIPKART,1
,Kerala,CSTE_0489_ST_Fruit_Blox_Light,Active,CSTE_0489_ST_Fruit_Blox_Light,CSTE FLIPKART,1
,Tamil Nadu,CSTE_0489_ST_Fruit_Blox_Light,Active,CSTE_0489_ST_Fruit_Blox_Light,CSTE FLIPKART,1
,Maharashtra,CSTE_0489_ST_Fruit_Blox_Light,Active,CSTE_0489_ST_Fruit_Blox_Light,CSTE FLIPKART,1
,Uttar Pradesh,CSTE_0489_ST_Fruit_Blox_Light,Active,CSTE_0489_ST_Fruit_Blox_Light,CSTE FLIPKART,1
,Maharashtra,CSTE_0488_ST_Anim_Breathing_Stitch_Blue,Active,CSTE_0488_ST_Animal_Breathing_Stitch_Blue,CSTE FLIPKART,1
,Karnataka,Breathing_Otter_Pink,Active,CSTE_0526_ST_Animal_Breathing_Otter_Pink,CSTE FLIPKART,1
,Maharashtra,CSTE_0490_ST_Fruit_Blox_Shadow,Active,CSTE_0490_ST_Fruit_Blox_Shadow,CSTE FLIPKART,1
,Tamil Nadu,CSTE_0490_ST_Fruit_Blox_Shadow,Active,CSTE_0490_ST_Fruit_Blox_Shadow,CSTE FLIPKART,1
,Maharashtra,CSTE_0490_ST_Fruit_Blox_Shadow,Active,CSTE_0490_ST_Fruit_Blox_Shadow,RUDRAV MEESHO,1
,Uttar Pradesh,CSTE_0486_ST_Anim_Breathing_Otter_Brown,Active,CSTE_0486_ST_Animal_Breathing_Otter_Brown,CSTE FLIPKART,1
,West Bengal,CSTE_0486_ST_Anim_Breathing_Otter_Brown,Active,CSTE_0486_ST_Animal_Breathing_Otter_Brown,CSTE FLIPKART,1
,Bihar,CSTE_0486_ST_Anim_Breathing_Otter_Brown,Active,CSTE_0486_ST_Animal_Breathing_Otter_Brown,CSTE FLIPKART,1
,Madhya Pradesh,CSTE_0486_ST_Anim_Breathing_Otter_Brown,Active,CSTE_0486_ST_Animal_Breathing_Otter_Brown,CSTE FLIPKART,1
,Meghalaya,MERCURYGREEN_FIRE_SG,Active,CSTE_0160_SG_FireGlass_MercuryGreen,CSTE FLIPKART,1
,Bihar,MERCURYGREEN_FIRE_SG,Active,CSTE_0160_SG_FireGlass_MercuryGreen,CSTE FLIPKART,1
,Maharashtra,CSTE_0149_SG_ButterFly_Pink,Active,CSTE_0149_SG_ButterFly_Pink,CSTE FLIPKART,1
,Odisha,F_sunglass-1,Active,CSTE_0217_SG_ThugLife_Thin,CSTE FLIPKART,1
,Delhi,Dumbledore_wand_musicbox,Active,CSTE_0336_Wands_Dumbledore_MusicBox,CSTE FLIPKART,3
,Uttar Pradesh,Dumbledore_wand_musicbox,Active,CSTE_0336_Wands_Dumbledore_MusicBox,CSTE FLIPKART,3
,Maharashtra,Dumbledore_wand_musicbox,Active,CSTE_0336_Wands_Dumbledore_MusicBox,CSTE FLIPKART,3
,Bihar,CSTE_0478_ST_Minecraft_Cow_Brown,Active,CSTE_0478_ST_Minecraft_Cow_Brown,CSTE FLIPKART,1
,Andhra Pradesh,CSTE_0478_ST_Minecraft_Cow_Brown,Active,CSTE_0478_ST_Minecraft_Cow_Brown,RUDRAV MEESHO,1
,Kerala,Brown-La-Vie-Rose-Brown,Active,CSTE_0045_MB_LavienRose_Brown,CSTE FLIPKART,1
,West Bengal,HARRY POTTER_WHITE,In Progress,CSTE_0017_MB_HP_Brown,CSTE FLIPKART,2
,West Bengal,HARRY POTTER_WHITE,Active,CSTE_0039_MB_HP_White,CSTE FLIPKART,2
,Kerala,HARRY POTTER_WHITE,In Progress,CSTE_0017_MB_HP_Brown,CSTE FLIPKART,2
,Kerala,HARRY POTTER_WHITE,Active,CSTE_0039_MB_HP_White,CSTE FLIPKART,2
,Uttar Pradesh,HARRY POTTER_WHITE,In Progress,CSTE_0017_MB_HP_Brown,CSTE FLIPKART,2
,Uttar Pradesh,HARRY POTTER_WHITE,Active,CSTE_0039_MB_HP_White,CSTE FLIPKART,2
,Karnataka,Dumbledore_sunglass_wand,Active,CSTE_0342_Wands_Dumbledore_Sunglasas,CSTE FLIPKART,3
,Karnataka,CSTE_0487_ST_Anim_Breathing_Otter_Blue,Active,CSTE_0487_ST_Animal_Breathing_Otter_Blue,CSTE FLIPKART,1
,Tamil Nadu,CSTE_0487_ST_Anim_Breathing_Otter_Blue,Active,CSTE_0487_ST_Animal_Breathing_Otter_Blue,CSTE FLIPKART,1
,Gujarat,CSTE_0487_ST_Anim_Breathing_Otter_Blue,Active,CSTE_0487_ST_Animal_Breathing_Otter_Blue,CSTE FLIPKART,1
,Maharashtra,Music Box/26,Active,CSTE_0084_MB_Spirated_Black,CSTE FLIPKART,1
,Tamil Nadu,Hbd_white_mb,Active,CSTE_0036_MB_HBD_White,CSTE FLIPKART,1
,Bihar,Hbd_white_mb,Active,CSTE_0036_MB_HBD_White,CSTE FLIPKART,1
,Chhattisgarh,hbd_brown_map,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,1
,Maharashtra,hbd_brown_map,Active,CSTE_0014_MB_HBD_Brown,CSTE FLIPKART,1
,Maharashtra,CSTE_0482_ST_Animal_Kitty_Kuromi_Black,Active,CSTE_0482_ST_Animal_Kitty_Kuromi_Black,CSTE FLIPKART,1
,Nagaland,crystle_17nots_kalimba,Active,CSTE_0305_MB_Crystle_17Notes_Transparent,CSTE FLIPKART,1
,Telangana,CSTE_0532_ST_Animal_Breathing_Rabbit_Grey,Active,CSTE_0532_ST_Animal_Breathing_Rabbit_Grey,CSTE FLIPKART,1
,West Bengal,harrypotter_brown_map2,Active,CSTE_0017_MB_HP_Brown,CSTE FLIPKART,1
,Rajasthan,harrypotter_brown_map2,Active,CSTE_0017_MB_HP_Brown,CSTE FLIPKART,1
,Assam,fusked-elephant-grey-soft toy,Active,CSTE_O0031_OT_StandingElephant_Grey,CSTE FLIPKART,1
,Tamil Nadu,fusked-elephant-grey-soft toy,Active,CSTE_O0031_OT_StandingElephant_Grey,CSTE FLIPKART,1
,Rajasthan,fusked-elephant-grey-soft toy,Active,CSTE_O0031_OT_StandingElephant_Grey,CSTE FLIPKART,1
,Uttar Pradesh,fusked-elephant-grey-soft toy,Active,CSTE_O0031_OT_StandingElephant_Grey,CSTE FLIPKART,1
,Karnataka,CSTE_0419_ST_MineCraft_Creeper,Active,CSTE_0419_ST_MineCraft_Creeper,CSTE FLIPKART,1
,Madhya Pradesh,CSTE_0355_Wands_HP_light_Sg,Active,CSTE_0355_Wands_Harrypotter_light_SG,CSTE FLIPKART,3
,Kerala,HBD_BLCK_MAP,Active,CSTE_0015_MB_HBD_Black,CSTE FLIPKART,1
,Maharashtra,moeny Heist Musical Toy,Active,CSTE_0191_MB_MHA2_Brown,CSTE FLIPKART,1
,Haryana,CSTE_0512_ST_Animal_Cow_Plush,Active,CSTE_0512_ST_Animal_Cow_Plush,CSTE FLIPKART,1
,West Bengal,light_wand_dumbledore,Active,CSTE_0333_Wands_Dumbledore_Light,CSTE FLIPKART,1
,Uttar Pradesh,CJ- BEN 10 GIRLS-BOYS-WATCH-GREEN,Active,CSTE_O0055_OT_PrincessDigitalWatch_Blue,CSTE FLIPKART,1
,Kerala,CSTE_0543_ST_Animal_Breathing_Strawberry_Rabbit,Active,CSTE_0543_ST_Animal_Breathing_Strawberry_Rabbit,CSTE FLIPKART,1
,Karnataka,CSTE_0476_ST_Minecraft_Zombie_Black,Active,CSTE_0476_ST_Minecraft_Zombie_Black,CSTE FLIPKART,1
,Maharashtra,CSTE_0502_ST_Minecraft_Pickaxe_Foam,Active,CSTE_0502_ST_Minecraft_Pickaxe_Foam,CSTE FLIPKART,2
,West Bengal,MB_MB_A12BROWN_1,Active,CSTE_0204_MB_MHA12_Brown,GIANT LEAP FLIPKART,1
,Kerala,MB_YouAreSunshine_Blk,Active,CSTE_0059_MB_YouAreMySunshine_Black,GIANT LEAP FLIPKART,1
,Madhya Pradesh,MB_YouAreSunshine_Blk,Active,CSTE_0059_MB_YouAreMySunshine_Black,GIANT LEAP FLIPKART,1
,Tamil Nadu,Map_HP_Brown,Active,CSTE_0017_MB_HP_Brown,GIANT LEAP FLIPKART,1
,Gujarat,MB_Beatles_Black,Active,CSTE_0021_MB_Beatles_Black,GIANT LEAP FLIPKART,1
,Rajasthan,LAVIENROSE_BLACK,Active,CSTE_0044_MB_LaVienRose_Black,GIANT LEAP FLIPKART,1
,Odisha,Thug life sunglasses,Active,CSTE_0217_SG_ThugLife_Thin,GIANT LEAP FLIPKART,1
,Kerala,Red_Wings_SG,Active,CSTE_0240_SG_Wings_Red,GIANT LEAP FLIPKART,1
,Bihar,doll_orange_green,Active,CSTE_O0324_OT_Doll_White,GIANT LEAP FLIPKART,1
,Kerala,thug_thin,Active,CSTE_0217_SG_ThugLife_Thin,GIANT LEAP FLIPKART,1
,Arunachal Pradesh,goku action figure01,Active,CSTE_0442_CLT_AF_Goku_Big,RUDRAV MEESHO,1
,Delhi,CSTE_O0390_OT_Toiletry_Bottles,Active,CSTE_O0390_OT_Toiletry_Bottles,RUDRAV MEESHO,1
,Maharashtra,CSTE_O0390_OT_Toiletry_Bottles,Active,CSTE_O0390_OT_Toiletry_Bottles,RUDRAV MEESHO,1
